realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1994-08-01,151.500
2013-08-14,2023-01-02,1994-09-01,151.600
2013-08-14,2023-01-02,1994-10-01,151.700
2013-08-14,2023-01-02,1994-11-01,152.300
2013-08-14,2023-01-02,1994-12-01,152.200
2013-08-14,2023-01-02,1995-01-01,152.200
2013-08-14,2023-01-02,1995-02-01,152.200
2013-08-14,2023-01-02,1995-03-01,152.800
2013-08-14,2023-01-02,1995-04-01,153.200
2013-08-14,2023-01-02,1995-05-01,153.600
2013-08-14,2023-01-02,1995-06-01,153.800
2013-08-14,2023-01-02,1995-07-01,153.900
2013-08-14,2023-01-02,1995-08-01,154.800
2013-08-14,2023-01-02,1995-09-01,154.700
2013-08-14,2023-01-02,1995-10-01,155.000
2013-08-14,2023-01-02,1995-11-01,155.400
2013-08-14,2023-01-02,1995-12-01,155.200
2013-08-14,2023-01-02,1996-01-01,155.800
2013-08-14,2023-01-02,1996-02-01,156.500
2013-08-14,2023-01-02,1996-03-01,157.100
2013-08-14,2023-01-02,1996-04-01,157.600
2013-08-14,2023-01-02,1996-05-01,158.000
2013-08-14,2023-01-02,1996-06-01,158.400
2013-08-14,2023-01-02,1996-07-01,158.700
2013-08-14,2023-01-02,1996-08-01,159.100
2013-08-14,2023-01-02,1996-09-01,159.600
2013-08-14,2023-01-02,1996-10-01,160.200
2013-08-14,2023-01-02,1996-11-01,160.400
2013-08-14,2023-01-02,1996-12-01,160.800
2013-08-14,2023-01-02,1997-01-01,161.200
2013-08-14,2023-01-02,1997-02-01,161.600
2013-08-14,2023-01-02,1997-03-01,161.800
2013-08-14,2023-01-02,1997-04-01,162.100
2013-08-14,2023-01-02,1997-05-01,162.500
2013-08-14,2023-01-02,1997-06-01,162.600
2013-08-14,2023-01-02,1997-07-01,163.100
2013-08-14,2023-01-02,1997-08-01,163.400
2013-08-14,2023-01-02,1997-09-01,163.600
2013-08-14,2023-01-02,1997-10-01,163.800
2013-08-14,2023-01-02,1997-11-01,163.900
2013-08-14,2023-01-02,1997-12-01,164.200
2013-08-14,2023-01-02,1998-01-01,164.600
2013-08-14,2023-01-02,1998-02-01,164.700
2013-08-14,2023-01-02,1998-03-01,164.900
2013-08-14,2023-01-02,1998-04-01,165.100
2013-08-14,2023-01-02,1998-05-01,165.000
2013-08-14,2023-01-02,1998-06-01,165.500
2013-08-14,2023-01-02,1998-07-01,165.700
