realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1964-09-01,32.900
2013-08-14,2023-01-02,1964-10-01,33.000
2013-08-14,2023-01-02,1964-11-01,33.100
2013-08-14,2023-01-02,1964-12-01,33.000
2013-08-14,2023-01-02,1965-01-01,32.800
2013-08-14,2023-01-02,1965-02-01,32.800
2013-08-14,2023-01-02,1965-03-01,32.900
2013-08-14,2023-01-02,1965-04-01,33.100
2013-08-14,2023-01-02,1965-05-01,33.400
2013-08-14,2023-01-02,1965-06-01,34.000
2013-08-14,2023-01-02,1965-07-01,34.000
2013-08-14,2023-01-02,1965-08-01,33.700
2013-08-14,2023-01-02,1965-09-01,33.700
2013-08-14,2023-01-02,1965-10-01,33.800
2013-08-14,2023-01-02,1965-11-01,33.900
2013-08-14,2023-01-02,1965-12-01,34.200
2013-08-14,2023-01-02,1966-01-01,34.400
2013-08-14,2023-01-02,1966-02-01,35.000
2013-08-14,2023-01-02,1966-03-01,35.300
2013-08-14,2023-01-02,1966-04-01,35.400
2013-08-14,2023-01-02,1966-05-01,35.200
2013-08-14,2023-01-02,1966-06-01,35.100
2013-08-14,2023-01-02,1966-07-01,34.900
2013-08-14,2023-01-02,1966-08-01,35.500
2013-08-14,2023-01-02,1966-09-01,35.600
2013-08-14,2023-01-02,1966-10-01,35.600
2013-08-14,2023-01-02,1966-11-01,35.500
2013-08-14,2023-01-02,1966-12-01,35.300
2013-08-14,2023-01-02,1967-01-01,35.100
2013-08-14,2023-01-02,1967-02-01,35.000
2013-08-14,2023-01-02,1967-03-01,34.900
2013-08-14,2023-01-02,1967-04-01,34.700
2013-08-14,2023-01-02,1967-05-01,34.700
2013-08-14,2023-01-02,1967-06-01,35.000
2013-08-14,2023-01-02,1967-07-01,35.200
2013-08-14,2023-01-02,1967-08-01,35.300
2013-08-14,2023-01-02,1967-09-01,35.300
2013-08-14,2023-01-02,1967-10-01,35.400
2013-08-14,2023-01-02,1967-11-01,35.400
2013-08-14,2023-01-02,1967-12-01,35.600
2013-08-14,2023-01-02,1968-01-01,35.600
2013-08-14,2023-01-02,1968-02-01,35.800
2013-08-14,2023-01-02,1968-03-01,35.900
2013-08-14,2023-01-02,1968-04-01,36.000
2013-08-14,2023-01-02,1968-05-01,36.100
2013-08-14,2023-01-02,1968-06-01,36.100
2013-08-14,2023-01-02,1968-07-01,36.200
2013-08-14,2023-01-02,1968-08-01,36.300
2013-08-14,2023-01-02,1968-09-01,36.500
2013-08-14,2023-01-02,1968-10-01,36.900
2013-08-14,2023-01-02,1968-11-01,36.800
2013-08-14,2023-01-02,1968-12-01,37.000
2013-08-14,2023-01-02,1969-01-01,37.000
2013-08-14,2023-01-02,1969-02-01,37.000
2013-08-14,2023-01-02,1969-03-01,37.100
2013-08-14,2023-01-02,1969-04-01,37.300
2013-08-14,2023-01-02,1969-05-01,37.500
2013-08-14,2023-01-02,1969-06-01,38.000
2013-08-14,2023-01-02,1969-07-01,38.200
2013-08-14,2023-01-02,1969-08-01,38.400
2013-08-14,2023-01-02,1969-09-01,38.600
2013-08-14,2023-01-02,1969-10-01,38.700
2013-08-14,2023-01-02,1969-11-01,39.100
2013-08-14,2023-01-02,1969-12-01,39.600
2013-08-14,2023-01-02,1970-01-01,39.600
2013-08-14,2023-01-02,1970-02-01,39.900
2013-08-14,2023-01-02,1970-03-01,39.800
2013-08-14,2023-01-02,1970-04-01,39.800
2013-08-14,2023-01-02,1970-05-01,40.000
